omen,link,place,nature
"A frog to hop into the house, a sign of a near friend's death.",https://www.duchas.ie/en/cbes/4921934/4911170/4932155,Limerick,bad
Good Luck if a Frog comes into the house.,https://www.duchas.ie/en/cbes/4816728/4718855,Monaghan,good
Unlucky for a frog to come into the house,https://www.duchas.ie/en/cbes/4940776/4731747/4941901,Monaghan,bad
People hate to have a frog enter a house because they say a frog brings ill-luck with it.,https://www.duchas.ie/en/cbes/4921924/4900655/4933550,Cork,bad
It is unlucky to see a frog in the house.,https://www.duchas.ie/en/cbes/5236081/5228734/5242523,Mayo,bad
If a frog comes into the house it is a sign of bad luck.,https://www.duchas.ie/en/cbes/4649710/4649393/4651505,Leitrim,bad
It is also lucky to get a frog without looking for him.,https://www.duchas.ie/en/cbes/5236081/5228807/5242539,Mayo,good
If you bring a frog into your house you will have bad [luck?],https://www.duchas.ie/en/cbes/4498309/4384047/4498327,Dublin,bad
It is unlucky for a frog to come into the house.,https://www.duchas.ie/en/cbes/5236081/5229019/5243248,Mayo,bad
It is unlucky for a frog to come into the house.,https://www.duchas.ie/en/cbes/5236081/5229677/5244357,Mayo,bad
A frog in a house means childbirth.,https://www.duchas.ie/en/cbes/4613715/4611640/4659556,Kerry,good
If a frog come into the kitchen it's a sign of luck.,https://www.duchas.ie/en/cbes/4922054/4847961/4956108,Limerick,good
If a frog came into the kitchen it is the sign of bad luck.,https://www.duchas.ie/en/cbes/5260427/5251756/5276403,Tipperary,bad
"Another old belief is that if a frog comes into the house, it is a sign of bad luck coming.",https://www.duchas.ie/en/cbes/4742046/4730665/4938411,Monaghan,bad
A frog to come into the house is a sign of bad luck.,https://www.duchas.ie/en/cbes/4921720/4893598/5178803,Cork,bad
When you see a frog in the middle of the road you would have bad luck.,https://www.duchas.ie/en/cbes/4428118/4379893/4463874,Waterford,bad
When a frog comes into a house it is the sign of bad luck.,https://www.duchas.ie/en/cbes/5044617/5026364/5141331,Offaly,bad
If a frog comes into the house you will have bad luck,https://www.duchas.ie/en/cbes/4539599/4362596/4539610,Mayo,bad
If a frog crosses you on the road you'll have bad luck.,https://www.duchas.ie/en/cbes/4811595/4800194/4928588,Roscommon,bad
If a frog came into a dwelling house some one in that house would die before that year would be out.,https://www.duchas.ie/en/cbes/4678376/4673452/4678847,Kerry,bad
It is sign of good luck for a frog to come into a dwelling house.,https://www.duchas.ie/en/cbes/4758577/4756164/4923826,Kilkenny,good
If a frog comes into the house it is very unlucky.,https://www.duchas.ie/en/cbes/5009258/5002255/5131456,Wexford,bad
One frog on the road is a sign of good luck,https://www.duchas.ie/en/cbes/4723876/4721369/4779894,Monaghan,good
"If a frog or a rat enters the house, bad luck will come to the house.",https://www.duchas.ie/en/cbes/5008982/4973658/5112703,Meath,bad
It is considered unlucky to see a frog hopping into the kitchen.,https://www.duchas.ie/en/cbes/5070816/5066942/5097087,Cavan,bad
Signs of bad luck: If frog comes in on floor,https://www.duchas.ie/en/cbes/5044739/5035657/5141813,Wicklow,bad
It is considered lucky for a frog to come into the house.,https://www.duchas.ie/en/cbes/4428354/4398830/4487670,Donegal,good
Dá cífeadh frog an mbóthar sin cómhartha bás duine éigin,https://www.duchas.ie/en/cbes/4742084/4734308/4923374,Kerry,bad
Má thagann frog isteach i dtig is cómharta bháis é.,https://www.duchas.ie/en/cbes/4798739/4794792/5017482,Cork,bad
